username,matched_patterns
username#00001,nationalities
username#00002,"disorders, nationalities"
username#00003,nationalities
username#00004,disorders
username#00005,nationalities
username#00006,nationalities
username#00007,nationalities
username#00008,nationalities
username#00009,"disorders, nationalities"
username#00010,"disorders, nationalities"
username#00011,nationalities
username#00012,nationalities
username#00013,"disorders, nationalities"
username#00014,"disorders, nationalities"
username#00015,nationalities
username#00016,nationalities
username#00017,disorders
username#00018,"disorders, nationalities"
username#00019,"disorders, nationalities"
username#00020,nationalities
username#00021,nationalities
username#00022,nationalities
username#00023,disorders
username#00024,nationalities
username#00025,"disorders, nationalities"
username#00026,disorders
username#00027,disorders
username#00028,nationalities
username#00029,"disorders, nationalities"
username#00030,disorders
username#00031,nationalities
username#00032,"disorders, nationalities"
username#00033,"disorders, nationalities"
username#00034,nationalities
username#00035,nationalities
username#00036,nationalities
username#00037,nationalities
username#00038,"disorders, nationalities"
username#00039,nationalities
username#00040,nationalities
username#00041,disorders
username#00042,"disorders, nationalities"
username#00043,"disorders, nationalities"
username#00044,disorders
username#00045,"disorders, nationalities"
username#00046,nationalities
username#00047,"disorders, nationalities"
username#00048,disorders
username#00049,"disorders, nationalities"
username#00050,nationalities
username#00051,nationalities
username#00052,disorders
username#00053,disorders
username#00054,disorders
username#00055,"disorders, nationalities"
username#00056,nationalities
username#00057,"disorders, nationalities"
username#00058,nationalities
username#00059,nationalities
username#00060,"disorders, nationalities"
username#00061,"disorders, nationalities"
username#00062,"disorders, nationalities"
username#00063,disorders
username#00064,disorders
username#00065,disorders
username#00066,nationalities
username#00067,nationalities
username#00068,disorders
username#00069,"disorders, nationalities"
username#00070,nationalities
username#00071,"disorders, nationalities"
username#00072,nationalities
username#00073,nationalities
username#00074,nationalities
username#00075,nationalities
username#00076,nationalities
username#00077,"disorders, nationalities"
username#00078,nationalities
username#00079,disorders
username#00080,nationalities
username#00081,"disorders, nationalities"
username#00082,nationalities
username#00083,"disorders, nationalities"
username#00084,"disorders, nationalities"
username#00085,nationalities
username#00086,nationalities
username#00087,nationalities
username#00088,nationalities
username#00089,nationalities
username#00090,nationalities
username#00091,nationalities
username#00092,disorders
username#00093,nationalities
username#00094,nationalities
username#00095,nationalities
username#00096,"disorders, nationalities"
username#00097,nationalities
username#00098,disorders
username#00099,nationalities
username#00100,disorders
username#00101,disorders
username#00102,disorders
username#00103,nationalities
username#00104,nationalities
username#00105,nationalities
username#00106,nationalities
username#00107,disorders
username#00108,disorders
username#00109,disorders
username#00110,"disorders, nationalities"
username#00111,disorders
username#00112,disorders
username#00113,"disorders, nationalities"
username#00114,"disorders, nationalities"
username#00115,nationalities
username#00116,disorders
username#00117,nationalities
username#00118,"disorders, nationalities"
username#00119,nationalities
username#00120,nationalities
username#00121,"disorders, nationalities"
username#00122,nationalities
username#00123,nationalities
username#00124,disorders
username#00125,disorders
username#00126,nationalities
username#00127,disorders
username#00128,disorders
username#00129,disorders
username#00130,disorders
username#00131,nationalities
username#00132,disorders
username#00133,"disorders, nationalities"
username#00134,disorders
username#00135,"disorders, nationalities"
username#00136,disorders
username#00137,nationalities
username#00138,nationalities
username#00139,disorders
username#00140,"disorders, nationalities"
username#00141,disorders
username#00142,disorders
username#00143,"disorders, nationalities"
username#00144,"disorders, nationalities"
username#00145,"disorders, nationalities"
username#00146,disorders
username#00147,"disorders, nationalities"
username#00148,nationalities
username#00149,nationalities
username#00150,nationalities
username#00151,disorders
username#00152,disorders
username#00153,nationalities
username#00154,nationalities
username#00155,nationalities
username#00156,"disorders, nationalities"
username#00157,disorders
username#00158,"disorders, nationalities"
username#00159,nationalities
username#00160,"disorders, nationalities"
username#00161,"disorders, nationalities"
username#00162,nationalities
username#00163,nationalities
username#00164,disorders
username#00165,nationalities
username#00166,disorders
username#00167,nationalities
username#00168,"disorders, nationalities"
username#00169,disorders
username#00170,"disorders, nationalities"
username#00171,nationalities
username#00172,nationalities
username#00173,"disorders, nationalities"
username#00174,"disorders, nationalities"
username#00175,disorders
username#00176,"disorders, nationalities"
username#00177,nationalities
username#00178,nationalities
username#00179,nationalities
username#00180,disorders
username#00181,nationalities
username#00182,"disorders, nationalities"
username#00183,"disorders, nationalities"
username#00184,nationalities
username#00185,nationalities
username#00186,disorders
username#00187,"disorders, nationalities"
username#00188,"disorders, nationalities"
username#00189,disorders
username#00190,disorders
username#00191,nationalities
username#00192,"disorders, nationalities"
username#00193,"disorders, nationalities"
username#00194,nationalities
username#00195,"disorders, nationalities"
username#00196,disorders
username#00197,nationalities
username#00198,nationalities
username#00199,"disorders, nationalities"
username#00200,disorders
username#00201,nationalities
username#00202,"disorders, nationalities"
username#00203,"disorders, nationalities"
username#00204,disorders
username#00205,"disorders, nationalities"
username#00206,nationalities
username#00207,nationalities
username#00208,nationalities
username#00209,"disorders, nationalities"
username#00210,"disorders, nationalities"
username#00211,"disorders, nationalities"
username#00212,disorders
username#00213,nationalities
username#00214,nationalities
username#00215,nationalities
username#00216,nationalities
username#00217,nationalities
username#00218,nationalities
username#00219,nationalities
username#00220,disorders
username#00221,nationalities
username#00222,"disorders, nationalities"
